Messtemperatur      21∞C
U-Bereich           -1V   bis 6V
Anzahl der Meﬂpunkte     50
delay nach Einstellen der Spannung  s
Strombegrenzung     1 A
Kontakt             x
Beleuchtung         d
Kommentar eingeben

voltage / V   current / A   time

Anzahl der Meﬂpunkte     50
delay nach Einstellen der Spannung  s
Strombegrenzung     1 A
Kontakt             x
Beleuchtung         d
Kommentar eingeben

voltage / V   current / A   time

-1	-0.2407718	9290.408
-0.84	-0.2259113	9290.958
-0.68	-0.2114646	9291.505
-0.52	-0.2019554	9292.051
-0.36	-0.2004664	9292.599
-0.2	-0.1997867	9293.427
-0.04	-0.1999872	9293.994
0.12	-0.1996666	9294.54
0.28	-0.199141	9295.087
0.44	-0.1987221	9295.644
0.6	-0.1977675	9296.229
0.76	-0.1978143	9296.775
0.92	-0.1975296	9297.322
1.08	-0.1717442	9297.869
1.24	-0.161745	9298.416
1.4	-0.1323148	9298.963
1.56	-0.1163706	9299.51
1.72	-0.1960309	9300.058
1.88	-0.1963416	9300.604
2.04	-0.1960156	9301.151
2.2	-0.1960721	9301.698
2.36	-0.1955435	9302.245
2.52	-0.1952988	9302.792
2.68	-0.1948361	9303.339
2.84	-0.1948	9303.887
3	-0.1944333	9304.433
3.16	-0.06475618	9305.048
3.32	-0.08464015	9305.754
3.48	-0.07534005	9306.393
3.64	-0.06955027	9306.967
3.8	-0.06361972	9307.513
3.96	-0.05870692	9308.059
4.12	-0.05067671	9308.606
4.28	-0.04486858	9309.155
4.44	-0.03651095	9309.7
4.6	-0.02783979	9310.247
4.76	-0.01979249	9310.794
4.92	-0.00144037	9311.414
5.08	0.004028608	9312.122
5.24	0.01958345	9312.691
5.4	0.03841623	9313.238
5.56	0.06529814	9313.786
5.72	0.0947815	9314.326
5.88	0.151026	9314.94
6.04	0.2072941	9315.478
6.2	0.274794	9316.024
6.36	0.3547413	9316.571
6.52	0.44206	9317.118
6.68	0.5378675	9317.665
6.84	0.6415502	9318.212
7	0.7516981	9318.759
